mz,rt,rt1,rt2,intensity,z,pic_label,score
370.83859948315774,205.8615935397713,204.67409614467,206.71976617716,40305.64978027344,3,205.8615935397713_370.83859948315774_40305.64978027344,
360.8487860489784,208.19512433909895,207.30523613832,208.47718218708,30777.42138671875,3,208.19512433909895_360.8487860489784_30777.42138671875,
446.7665080659709,209.7907349994572,208.91614309695,210.90168765924,100221.26947021484,3,209.7907349994572_446.7665080659709_100221.26947021484,
391.3547670733111,214.00821922915824,211.48189810659,214.81042817973,108615.31604003906,2,214.00821922915824_391.3547670733111_108615.31604003906,
360.84858115275176,214.4411396042336,212.63460103416,214.99658624076,52997.78515625,2,214.4411396042336_360.84858115275176_52997.78515625,
497.8724945023139,218.75921355496465,214.01044253253,219.40856305503,162912.9608154297,3,218.75921355496465_497.8724945023139_162912.9608154297,
420.9985434197816,220.80715531764844,220.31392959501,221.39798263455,358453.3628540039,3,220.80715531764844_420.9985434197816_358453.3628540039,
628.8587568462134,225.1751721988637,224.31435755637,225.92380706214,249216.14965820312,3,225.1751721988637_628.8587568462134_249216.14965820312,
420.9008276437161,223.72074151675116,221.85897210981,225.74483410263,176674.92150878906,3,223.72074151675116_420.9008276437161_176674.92150878906,
441.2997647563912,273.6619773749079,273.42918959997,275.04657713318994,304082.25,2,273.6619773749079_441.2997647563912_304082.25,
418.71021833834766,286.08203624363625,282.63683608914005,287.84074512864004,312676.94091796875,3,286.08203624363625_418.71021833834766_312676.94091796875,
441.2998540327649,285.38465306560454,282.99961308384,289.60151461506,414556.4208984375,2,285.38465306560454_441.2998540327649_414556.4208984375,
763.6953836674693,294.9230577712232,293.64434567832,295.89338663961,393585.31640625,2,294.9230577712232_763.6953836674693_393585.31640625,
833.6728652601802,296.1212543260205,295.50769916916,296.63344410801005,442020.29296875,2,296.1212543260205_833.6728652601802_442020.29296875,
440.8031014858376,297.18174313995706,291.85758713625,300.74445954702,519951.24072265625,2,297.18174313995706_440.8031014858376_519951.24072265625,
476.670537209781,296.86244753676976,296.63344410801005,297.55267456914004,196600.478515625,3,296.86244753676976_476.670537209781_196600.478515625,
440.8027536571188,302.7681009411468,298.82654920959,305.19429663564,431487.9716796875,2,302.7681009411468_440.8027536571188_431487.9716796875,
866.6798253632389,320.02426109203714,317.17431322479,321.91100613021,499310.296875,2,320.02426109203714_866.6798253632389_499310.296875,
